id;start_date;end_date;language
1;2020-05-08T12:13:00;2020-05-08T10:03:15;SPANISH
2;2020-05-07T17:03:11;2020-05-08T12:07:36;SPANISH
3;2020-05-08T07:58:30;2020-05-07T18:32:39;FRENCH
4;2020-05-07T23:16:01;2020-05-08T10:47:27;FRENCH
5;2020-05-08T08:46:19;2020-05-08T13:33:18;FRENCH
6;2020-05-08T02:38:40;2020-05-08T14:46:54;FRENCH
7;2020-05-08T04:24:00;2020-05-07T22:14:51;FRENCH
8;2020-05-08T03:20:13;2020-05-08T13:36:21;SPANISH
9;2020-05-08T02:01:22;2020-05-07T22:42:45;SPANISH
10;2020-05-08T10:13:26;2020-05-07T20:47:56;SPANISH
